Geography,Year,Category,Industry Space Use,Value
East Melbourne,2022,Jobs by space use,Entertainment - Other,1184
East Melbourne,2022,Jobs by space use,Health,4496
Kensington,2022,Jobs by space use,Other - Employment,307
Melbourne (CBD),2022,Jobs by space use,Accommodation - Commercial,3986
Melbourne (CBD),2022,Jobs by space use,Education,7001
Melbourne (CBD),2022,Jobs by space use,Entertainment - Hospitality,13573
Melbourne (CBD),2022,Jobs by space use,Entertainment - Other,3916
Melbourne (CBD),2022,Jobs by space use,Industrial,195
Melbourne (CBD),2022,Jobs by space use,Other - Employment,1089
Melbourne (Remainder),2022,Jobs by space use,Entertainment - Hospitality,1868
Melbourne (Remainder),2022,Jobs by space use,Entertainment - Other,1400
Melbourne (Remainder),2022,Jobs by space use,Other - Employment,46
North Melbourne,2022,Jobs by space use,Accommodation - Commercial,120
North Melbourne,2022,Jobs by space use,Entertainment - Hospitality,500
North Melbourne,2022,Jobs by space use,Health,689
North Melbourne,2022,Jobs by space use,Office,5892
Parkville,2022,Jobs by space use,Accommodation - Commercial,582
Parkville,2022,Jobs by space use,Entertainment - Hospitality,546
Port Melbourne,2022,Jobs by space use,Accommodation - Commercial,1
Port Melbourne,2022,Jobs by space use,Education,988
Port Melbourne,2022,Jobs by space use,Health,6
South Yarra,2022,Jobs by space use,Entertainment - Other,30
South Yarra,2022,Jobs by space use,Industrial,3
Southbank,2022,Jobs by space use,Education,1389
Southbank,2022,Jobs by space use,Entertainment - Other,7031
Southbank,2022,Jobs by space use,Office,27387
Southbank,2022,Jobs by space use,Retail,2453
West Melbourne (Industrial),2022,Jobs by space use,Other - Employment,35
West Melbourne (Residential),2022,Jobs by space use,Education,264
West Melbourne (Residential),2022,Jobs by space use,Entertainment - Hospitality,218
West Melbourne (Residential),2022,Jobs by space use,Other - Employment,457
West Melbourne (Residential),2022,Jobs by space use,Retail,348
City of Melbourne,2022,Jobs by industry,Total jobs,473514
Carlton,2022,Jobs by industry,Total jobs,15484
East Melbourne,2022,Jobs by industry,Total jobs,20840
Melbourne (CBD),2022,Jobs by space use,Total jobs,222982
Melbourne (Remainder),2022,Jobs by space use,Total jobs,23330
Parkville,2022,Jobs by industry,Total jobs,30526
South Yarra,2022,Jobs by space use,Total jobs,1061
West Melbourne (Residential),2022,Jobs by industry,Total jobs,4994
